,brand,model,biz30day,total_sold_price,submarket,target_score,sku
10,金耐欧,180B,51.0,6120.0,{'4': '婴儿辅食'},"{'质量': {'声音': 2.0, '质量': 10.0, '开关': 1.0}, '款式': {'颜值': 1.0}, '功能': {'干辣椒': 1.0, '米粉': 1.0, '芝麻': 0.0, '橙汁': 1.0, '转速': 1.0, '果汁': 1.0}, '服务': {'服务态度': 2.0, '态度': 2.0}, '物流': {}}","{'书名': '家用小型电动婴儿辅食料理机果汁搅拌机中西药打粉机粉碎机磨粉机', '颜色分类': '红色', '产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人'}"
11,凯福赛,207,1.0,158.0,{'4': '婴儿辅食'},,"{'书名': '香港破壁机多功能料理机榨果汁豆浆搅拌碎肉磨粉食品加工辅食搅拌', '颜色分类': '凯福赛KFS206', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人'}"
12,家必康,2160,1.0,198.0,{'4': '婴儿辅食'},,"{'书名': '台湾家必康多功能料理机榨果汁豆浆搅拌碎肉磨粉食品加工机辅食机', '颜色分类': '红色', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人'}"
13,krobell/康贝尔,2166,518.0,50621.82,{'4': '婴儿辅食'},"{'质量': {'质量': 64.0, '声音': 0.0, '噪音': 5.0, '刀头': 1.0, '实用性': 1.0, '挺好': 5.0, '噪声': 1.0, '商品': 1.0, '实物': 1.0}, '款式': {'手感': 2.0, '款式': 1.0, '分量': 1.0, '颜色': 1.0, '机身': 1.0}, '功能': {'绞肉': 4.0, '辅食': 1.0, '操作性': -1.0, '很给力': 1.0, '芝麻': 0.0, '转速': 4.0, '果汁': 3.0, '粉末': 1.0, '功率': 1.0, '八角': 0.0, '蒜蓉': 1.0, '苹果泥': 1.0, '发动机': -1.0}, '服务': {'卖家': 7.0, '态度': 2.0, '包装': 15.0, '客服': 4.0, '服务态度': 7.0, '赠品': 1.0}, '物流': {}}","{'书名': '康贝尔多功能料理机配件大全刀头绞肉杯刀一字十字刀连接头密封圈', '颜色分类': '十字刀 一字刀 连接头.软胶 个 转运轮.硬胶 个 绞肉刀.S刀（绞肉杯专用） 大号绞肉刀：切片切丝绞肉杯l用 减速器 密封圈防水胶圈.2个5元 小垫片 5元3个 防水小胶圈5元3个 刀头外圆胶10元3个 十字刀座头.内配件 奶昔杯 果汁杯.高杯 研磨杯.小杯.低杯.短杯 绞肉杯 一字刀+研磨杯 过滤杯 绞肉杯盖 主机座垫胶 5元3个 主机底座防滑垫胶 5元3 一字刀座头.内配件 十字刀+果汁杯 运动杯', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上'}"
14,良太,2166,321.0,30045.6,{'4': '婴儿辅食'},"{'质量': {'质量': 166.0, '开关': 4.0, '挺好': 14.0, '噪音': 10.0, '声音': 20.0, '商品': 3.0, '质量上乘': 1.0, '耐高温': 1.0, '马达': -1.0, '性能': 1.0, '噪声': 0.0, '刀头': 1.0, '用料': 2.0, '美味佳肴': 1.0, '塑料杯': 1.0, '按钮开关': 1.0, '手艺': -1.0, '很稳': 1.0, '盖子': 1.0, '气味': 1.0, '很沉': 1.0, '安全性': 1.0, '工艺': 1.0, '磨时间': 1.0, '刮痕': 1.0}, '款式': {'按键': 1.0, '款式': 2.0, '大小': 5.0, '手感': 2.0, '外形': 2.0, '颜色': 5.0, '容量大': 1.0, '够大': 1.0, '外表': 2.0, '很漂亮': 1.0, '机身': 2.0, '样式': 1.0, '塑料': -1.0, '颜值': -1.0}, '功能': {'绞肉': 11.0, '榨汁': 6.0, '饺子馅': 1.0, '米糊': 7.0, '功率': 4.0, '香蕉': 1.0, '速度快': 6.0, '果汁机': -1.0, '果汁': 11.0, '榨汁机': 3.0, '橙汁': 3.0, '转速': 4.0, '辣子': 0.0, '米粉': 4.0, '果肉': 1.0, '用途': 5.0, '刀座': 1.0, '芝麻': 1.0, '很给力': 4.0, '辣椒面': 1.0, '肉馅': 4.0, '省时省力': 1.0, '辅食': 3.0, '豆浆': 4.0, '椒盐': 0.0, '虾皮': 0.0, '清晰度': 1.0, '水果': 2.0, '苹果泥': 2.0, '碎冰': 1.0, '红豆': 1.0, '米浆': 2.0, '碎肉': 2.0, '大米': 0.0, '芒果汁': 1.0, '粉末': 1.0, '效率': 1.0, '八角': 0.0, '绞碎': 1.0, '黑芝麻糊': 1.0, '樱桃汁': 1.0, '用具': 1.0, '土豆泥': 1.0, '黑芝麻': 0.0, '花生酱': 1.0, '榨菜': 1.0, '食物': 1.0, '糖粉': 1.0}, '服务': {'包装': 39.0, '服务态度': 43.0, '好评': 29.0, '态度': 32.0, '卖家': 11.0, '店主人': 1.0, '淘宝': 1.0, '客服': 23.0, '买家': 1.0, '盒子': 1.0, '赠品': 2.0, '果泥': 3.0, '信誉': 1.0, '售后服务': 6.0, '说明书': 3.0, '店铺': 1.0, '亲们': 3.0, '有问必答': 1.0, '店家': 1.0}, '物流': {}}","{'书名': '香港良太料理机多功能粉碎机家用小型搅拌绞肉榨汁宝宝婴儿辅食机', '颜色分类': '智能加热款(高硼硅） 手动机械款（高硼硅） 智能加热款(加厚玻璃杯）', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人'}"
15,krobell/康贝尔,2168,41.0,4264.0,{'4': '婴儿辅食'},"{'质量': {'质量': 2.0, '挺好': 1.0}, '服务': {'包装': 1.0}}","{'书名': '香港康贝尔料理机家用搅拌破壁机多功能豆浆果汁机宝宝辅食磨粉机', '颜色分类': '玫红色', '产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人'}"
16,hamilton beach/汉美驰,51126-CN,12.0,3588.0,"{'3': '全自动', '5': '小容量', '4': '婴儿辅食'}","{'质量': {'质量': 12.0, '噪音': 0.0, '声音': 0.0, '挺好': 1.0}, '款式': {'款式': 1.0, '外形': 3.0, '颜值': 0.0, '颜色': 2.0}, '功能': {'榨汁机': 1.0, '食物': 1.0, '火龙果': 1.0}, '服务': {'客服': 1.0, '包装': 4.0, '服务态度': 2.0, '态度': 1.0}, '物流': {}}","{'书名': '汉美驰 51126-CN 便携式果汁机家用全自动迷你多功能榨汁辅食机', '颜色分类': '红色', '产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人'}"
17,bosch/博世,54A00,28.0,32037.0,{'3': '全自动'},"{'质量': {'声音': 0.0, '噪音': 3.0, '质量': 2.0, '噪声': -1.0, '电线': -1.0, '声响': -1.0}, '款式': {'外观设计': 1.0}, '功能': {'打蛋器': 2.0}, '服务': {'包装': 2.0}}","{'书名': 'Bosch/博世 MUM54A00 MUM4405 54251家用厨师机全自动料理机5系列', '颜色分类': '红色', '产品功能': '榨汁 切菜 绞肉 碎冰 搅拌 和面 打蛋 混合 绞肉', '适用人数': '1-3人'}"
18,aca/北美电器,55522,1.0,94.8,"{'5': '小容量', '3': '全自动'}",,"{'书名': '尚友堂榨果汁机家用便携式果蔬全自动多功能迷你康宝莱奶昔搅拌机', '颜色分类': '尚友堂奶昔榨汁机（单杯） 尚友堂奶昔榨汁机（双杯） 尚友堂榨汁机4台批发价（单杯） 尚友堂榨汁机8台批发价（单杯）', '产品功能': '搅拌 制奶昔 混合', '适用人数': '1-3人'}"
19,hamilton beach/汉美驰,59765-CN,3.0,1407.0,"{'7': '手持', '4': '婴儿辅食'}","{'质量': {'质量': 2.0}, '功能': {'打蛋器': 1.0}, '服务': {'包装': 2.0}}","{'书名': '汉美驰 59765-CN 搅拌机多功能家用手持电动料理棒婴儿辅食料理机', '颜色分类': '灰色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人'}"
20,kitchenaid,5KHB2569C,1.0,2199.0,"{'7': '手持', '4': '婴儿辅食'}","{'质量': {'质量': 7.0, '刀头': 1.0, '声音': 0.0}, '款式': {'颜色': 2.0, '颜值': 2.0, '收纳盒': 6.0, '很漂亮': 1.0}, '功能': {'打蛋器': 0.0, '棒子': -1.0}, '服务': {'包装': 4.0, '素质': 1.0, '服务态度': 2.0, '客服': 3.0, '盒子': 1.0, '态度': 2.0, '客户': 1.0}}","{'书名': 'kitchenaid 5KHB2569C多功能料理棒搅拌棒 电动手持家用料理机', '颜色分类': '黑色', '产品功能': '绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '4-5人'}"
21,kitchenaid,5KSB1585C,82.0,74548.0,{'4': '婴儿辅食'},"{'质量': {'底座': 1.0, '声音': 4.0, '台面': -1.0, '质量': 5.0, '噪音': 0.0, '打法': 1.0}, '款式': {'颜值': 15.0, '黑色': 1.0, '粉色': 2.0, '白色': 1.0, '颜色': 6.0, '樱花': 0.0, '手感': 1.0, '很漂亮': 1.0}, '功能': {'豆渣': 2.0, '转速': -1.0, '构造': 1.0, '破壁': 1.0, '西瓜汁': 1.0, '水果': 1.0}, '服务': {'客服': 7.0, '服务态度': 1.0, '盒子': 1.0, '态度': 5.0, '卖家': 3.0, '赠品': 1.0, '果泥': 1.0, '包装': 1.0}, '物流': {}}","{'书名': 'kitchenaid 5KSB1585C进口家用搅拌料理多功能辅食榨汁杯果汁机', '颜色分类': '黑色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '1-3人'}"
22,kitchenaid,5QT 原装盆,1.0,144.0,{'7': '手持'},,"{'书名': '【美国人开开】KitchenAid 5qt 盆 手持不锈钢搅拌桶料理碗配料', '颜色分类': '红色', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-3人'}"
23,long plus,60,27.0,7533.0,{'4': '婴儿辅食'},,"{'书名': 'long plus 60料理机家用多功能研磨机果汁机小型磨粉机搅拌辅食', '颜色分类': '蓝色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上'}"
24,krobell/康贝尔,6288,2.0,436.0,{'4': '婴儿辅食'},,"{'书名': '香港康贝尔新款家用料理搅拌机多功能宝宝辅食磨粉机切片切丝过滤', '颜色分类': '康贝尔3166送豪礼 康贝尔3166一阳紫套装送豪礼 康贝尔3166最高配套装送豪礼', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人'}"
25,hamilton beach/汉美驰,72860-CN,23.0,9177.0,{'4': '婴儿辅食'},"{'质量': {'噪音': 2.0, '产品品质': 1.0, '质量': 7.0, '刀头': 2.0, '玻璃碗': 1.0}, '款式': {'机身': 1.0}, '功能': {'碎肉': 1.0, '吐司': 1.0, '饺子': 1.0, '肉质': 1.0, '绞碎': 1.0, '绞肉机': -1.0, '绞肉': 0.0, '肉馅': 1.0}, '服务': {'态度': 2.0, '客服': 1.0, '纸盒包装': 1.0, '包装': 1.0}, '物流': {}}","{'书名': 'HAMILTON BEACH/汉美驰 72860-CN绞肉机家用电动搅拌器搅碎打肉机', '颜色分类': '黑色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0绞肉', '适用人数': '1-3人'}"
26,ranbem/瑞本,767S,632.0,125140.0,"{'3': '全自动', '4': '婴儿辅食'}","{'质量': {'质量': 19.0, '声音': 18.0, '挺好': 2.0, '噪音': -1.0, '盖子': 1.0, '实物': 1.0, '马力大': 1.0}, '款式': {'外形': 1.0, '颜值': 1.0, '大小': 1.0, '触摸屏': 1.0, '颜色': 1.0, '够大': 1.0, '容量大': 1.0, '外表': 1.0, '按键': 1.0, '神器': 1.0}, '功能': {'豆浆': 3.0, '果汁': 3.0, '转数': 1.0, '牛肉': 1.0, '功率': 3.0, '用途': 0.0, '萝卜': 1.0, '破壁': 1.0, '智能': 1.0, '蔬果': 1.0, '芝麻': 0.0, '转速': 1.0, '水果': 1.0}, '服务': {'服务态度': 6.0, '卖家': 3.0, '好评': 2.0, '态度': 0.0, '包装': 9.0}, '物流': {'物流配送': 1.0}}","{'书名': 'Ranbem/瑞本 767S破壁机料理机多功能家用搅拌机水果机绞肉机豆浆', '颜色分类': '红色', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-6人'}"
27,ranbem/瑞本,768B,352.0,140096.0,"{'3': '全自动', '5': '小容量', '4': '婴儿辅食'}","{'质量': {'质量': 48.0, '声响': 1.0, '声音': 26.0, '挺好': 5.0, '玻璃': 6.0, '用料': 3.0, '安全措施': 1.0, '噪音': 3.0, '刀头': 1.0, '底座': 1.0, '物件': 1.0, '物美': 1.0, '性能': 1.0, '都来买': 1.0, '实物': 1.0, '玻璃缸': 1.0, '密闭性': 1.0, '实用性': 1.0, '工艺': 1.0}, '款式': {'颜色': 2.0, '很漂亮': 3.0, '手感': 2.0, '厚重感': 1.0, '显示灯': 1.0, '红色': 1.0, '按键': -1.0, '外观设计': 1.0, '塑料': -1.0, '神器': 1.0, '款式': 1.0, '机身': 2.0}, '功能': {'豆浆': 29.0, '苹果': 1.0, '果汁': 3.0, '转速': 3.0, '破壁': 1.0, '米糊': 7.0, '黑芝麻糊': 1.0, '田七': 0.0, '早餐': 1.0, '绞肉': 1.0, '西红柿': 1.0, '水果': 1.0, '黑豆浆': 1.0, '功能性': 1.0, '水果汁': 1.0, '蔬果汁': 1.0, '绿豆沙': 1.0, '指示灯': 0.0, '豆子': 0.0, '豆汁': 1.0, '豆渣': 3.0, '功能键': 2.0, '榨汁机': 1.0}, '服务': {'态度': 18.0, '服务态度': 22.0, '外包装': 1.0, '包装': 11.0, '客服': 11.0, '说明书': 1.0, '实体店': 1.0, '店家': 2.0, '卖家': 2.0, '好评': 1.0, '链接': 1.0, '客户': 5.0, '亲们': 1.0}, '物流': {'顺丰': 2.0}}","{'书名': 'Ranbem/瑞本 768B破壁豆浆料理机家用全自动多功能加热辅食预约', '颜色分类': '红色', '产品功能': '蔬果 苹果 坚果 冰沙 豆浆 煲水 香粥 米糊 西汤 中汤 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上'}"
28,ranbem/瑞本,775,348.0,138504.0,"{'4': '婴儿辅食', '3': '全自动'}","{'质量': {'声音': 61.0, '实物': 3.0, '挺好': 3.0, '噪音': 9.0, '玻璃': 9.0, '质量': 65.0, '工艺': 2.0, '噪声': 2.0, '很沉': 2.0, '胡底': 1.0, '电源线': 1.0, '声响': 2.0, '刀头': 1.0, '盖子': -2.0, '商品': 1.0}, '款式': {'颜色': 8.0, '金色': 3.0, '款式': 2.0, '外形': 5.0, '美观大方': 1.0, '外观美': 2.0, '大小': 3.0, '手感': 5.0, '外型': 1.0, '外表': 2.0, '外观上': 1.0, '很漂亮': 6.0, '样式': 2.0, '外观设计': 1.0, '界面': 1.0, '机身': -1.0, '红色': 3.0, '按键': 1.0}, '功能': {'米糊': 7.0, '豆浆': 59.0, '黑豆浆': 2.0, '小米': 1.0, '果汁': 13.0, '水果': 3.0, '苹果汁': 3.0, '鸡汤': 1.0, '早餐': 3.0, '榨汁': 2.0, '很给力': 1.0, '果蔬': 1.0, '榨汁机': 1.0, '红豆': 1.0, '煮得': 1.0, '辅食': 2.0, '效率': 0.0, '芒果汁': 1.0, '鱼汤': 1.0, '绞肉': 1.0, '粉末': 1.0, '花生酱': 0.0, '功率': 1.0, '营养粥': 1.0, '核桃': 0.0, '八宝粥': 1.0, '豆浆渣': 1.0, '机型': 1.0}, '服务': {'客服': 26.0, '包装': 33.0, '好评': 11.0, '态度': 26.0, '包装箱': 1.0, '店主': 1.0, '淘宝': 1.0, '服务态度': 23.0, '买家': 1.0, '产品包装': 1.0, '卖家': 4.0, '客户': 1.0, '赠品': 1.0, '说明书': 1.0, '店家': 1.0, '客户服务': 1.0, '售后服务': 3.0, '亲们': 1.0, '包裹': 1.0}, '物流': {}}","{'书名': 'Ranbem/瑞本 775破壁机加热家用全自动多功能养生料理机辅食豆浆', '颜色分类': '红色', '产品功能': '豆浆、辅食、米糊 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人'}"
29,kaiso/凯索,8800,5.0,498.0,{'2': '大容量'},{'功能': {'功率': -1.0}},"{'书名': '凯索水果搅拌机 料理机混合搅拌机家用电动自动康宝莱奶昔机', '颜色分类': '新款多乐奶昔榨汁机 新款多乐奶昔榨汁机4台批发价 新款多乐奶昔榨汁机8台批发价', '产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人'}"
30,westinghouse/西屋,A1,6.0,19080.0,"{'3': '全自动', '4': '婴儿辅食'}","{'质量': {'质量': 7.0, '声音': 0.0, '挺好': 1.0, '底盘': 1.0}, '款式': {'机身': 1.0}, '功能': {'豆浆': 3.0, '水果汁': 1.0, '功率': 2.0, '中药材': 0.0, '果汁': 1.0, '辅食': 1.0, '豆渣': 1.0}, '服务': {'赠品': 2.0, '服务态度': 1.0}, '物流': {}}","{'书名': '美国Westinghouse/西屋 A1变频破壁料理机全自动家用加热多功能', '颜色分类': '红色', '产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人'}"
31,顺然,A760,34.0,11526.0,"{'4': '婴儿辅食', '3': '全自动'}",,"{'书名': '顺然A760破壁机加热家用全自动多功能豆浆料理机养生婴儿辅食机', '颜色分类': '升级款破壁搅拌机【不细腻包退】', '产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上'}"
